file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-html-module\src\main\java\org\apache\tika\parser\html\DefaultHtmlMapper.java,org.apache.tika.parser.html.DefaultHtmlMapper$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-html-module\src\main\java\org\apache\tika\parser\html\DefaultHtmlMapper.java,org.apache.tika.parser.html.DefaultHtmlMapper$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-html-module\src\main\java\org\apache\tika\parser\html\DefaultHtmlMapper.java,org.apache.tika.parser.html.DefaultHtmlMapper$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,17,0,0,0,0,0,92,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\jprov\Documents\ck\target\tika\tika-core\src\main\java\org\apache\tika\io\MappedBufferCleaner.java,org.apache.tika.io.MappedBufferCleaner$BufferCleaner,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-microsoft-module\src\main\java\org\apache\tika\parser\microsoft\onenote\fsshttpb\streamobj\basic\PropertyType.java,org.apache.tika.parser.microsoft.onenote.fsshttpb.streamobj.basic.PropertyType,enum,1,4,3,1,5,1,0,4,0,0.33333334,0.5,0.5,3,1,2,0,0,1,4,0,0,0,2,1,0,1,0,1,2,0,1,32,2,1,0,0,0,0,15,2,0,2,1,0,0,0,76,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-package\src\test\java\org\apache\tika\config\TikaTranslatorConfigTest.java,org.apache.tika.config.TikaTranslatorConfigTest,class,6,6,0,6,4,2,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3,0,4,0,4,1,0,0,1,39,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-server\tika-server-core\src\main\java\org\apache\tika\server\core\TikaServerParseException.java,org.apache.tika.server.core.TikaServerParseException,class,1,3,2,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-microsoft-module\src\main\java\org\apache\tika\parser\microsoft\onenote\fsshttpb\exception\DataElementParseErrorException.java,org.apache.tika.parser.microsoft.onenote.fsshttpb.exception.DataElementParseErrorException,class,0,4,4,0,2,4,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,2,0,1,0,0,0,0,8,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-pipes\tika-fetchers\tika-fetcher-s3\src\test\java\org\apache\tika\pipes\fetcher\s3\TestS3Fetcher.java,org.apache.tika.pipes.fetcher.s3.TestS3Fetcher,class,6,6,0,6,2,1,0,13,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,1,0,4,0,0,4,0,4,24,0,0,0,2,0,7,0,11,0,11,1,0,0,0,35,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-miscoffice-module\src\test\java\org\apache\tika\parser\wordperfect\WordPerfectTest.java,org.apache.tika.parser.wordperfect.WordPerfectTest,class,5,5,0,5,4,2,0,10,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,13,3,8,0,7,1,0,0,0,53,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-modules\tika-parser-microsoft-module\src\main\java\org\apache\tika\parser\microsoft\SummaryExtractor.java,org.apache.tika.parser.microsoft.SummaryExtractor,class,14,18,4,14,46,1,0,54,0,0.7666667,0.16666667,0.16666667,15,1,4,11,0,0,4,0,0,0,4,3,0,4,0,0,4,0,5,171,5,2,4,2,1,4,4,19,1,18,3,0,0,0,93,1,1
C:\Users\jprov\Documents\ck\target\tika\tika-eval\tika-eval-app\src\main\java\org\apache\tika\eval\app\io\ExtractReaderException.java,org.apache.tika.eval.app.io.ExtractReaderException,class,1,4,3,1,2,4,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,1,0,29,1,0
C:\Users\jprov\Documents\ck\target\tika\tika-parsers\tika-parsers-standard\tika-parsers-standard-package\src\test\java\org\apache\tika\parser\fork\ForkParserIntegrationTest.java,org.apache.tika.parser.fork.ForkParserIntegrationTest$AnError,innerclass,1,1,0,1,7,3,0,3,0,0.5,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,1,0,2,0,0,1,0,0,24,5,0,3,0,0,0,1,3,0,3,1,0,0,0,38,8,0
